City,AGE,Gender,Nationality,Subject_Area,Years_Higher_Education,Duration_Abroad,ECTS_Anticipated,Special_Needs,Language_Taught,Study_Grant,Placement_Grant
 BILBAO0,19,F,ES,222,2,9,64,0,FR,1170,0
 CADIZ01,19,F,ES,723,2,06. Mai,12,0,IT,845,0
 BILBAO0,19,F,ES,222,2,Apr-75,30,0,EN,617.5,0
 BILBAO0,19,F,ES,223,3,9,60,0,EN,1170,0
 BURGOS0,19,M,ES,346,2,0,0,0,EN,0,600
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,DE,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,4,16,0,EN,520,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,DE,455,0
 BILBAO0,19,F,ES,223,2,10,54,0,FR,1300,0
 BILBAO0,19,F,ES,222,2,6,35,0,DE,780,0
 BARCELO,19,M,ES,223,1,Mrz 75,16,0,EN,487.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,DE,455,0
 BILBAO0,19,F,ES,222,1,Apr-75,30,0,EN,617.5,0
 BILBAO0,19,M,ES,222,2,Mai 75,32,0,EN,747.5,0
 BILBAO0,19,F,ES,222,2,Apr-75,30,0,EN,617.5,0
 BILBAO0,19,F,ES,222,2,04. Mai,33,0,EN,585,0
 BILBAO0,19,F,ES,222,2,5,30,0,EN,650,0
 BILBAO0,19,F,ES,222,2,9,60,0,DE,1170,0
 BILBAO0,19,M,ES,223,2,10,59,0,IT,1300,0
 BARCELO,19,F,ES,811,2,0,9,0,FR,0,975
 BARCELO,19,M,ES,213,1,4,30,0,EN,520,0
 BARCELO,19,F,ES,213,1,4,30,0,EN,520,0
 BARCELO,19,F,ES,213,1,4,30,0,EN,520,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,DE,422.5,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,FR,455,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,EN,455,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 75,16,0,EN,487.5,0
 BILBAO0,19,M,ES,222,1,Mai 25,30,0,EN,682.5,0
 BILBAO0,19,F,ES,223,1,9,52,0,IT,1170,0
 BILBAO0,19,F,ES,222,1,Apr-75,30,0,EN,617.5,0
 BILBAO0,19,F,ES,223,2,9,60,0,DE,1170,0
 BARCELO,19,F,DE,811,2,0,9,0,FR,0,975
 BARCELO,19,F,ES,762,1,4,30,0,EN,520,0
 BARCELO,19,M,ES,213,1,4,30,0,EN,520,0
 BARCELO,19,F,ES,213,1,4,30,0,EN,520,0
 BARCELO,19,F,ES,811,1,4,30,0,EN,520,0
 BARCELO,19,F,ES,811,1,0,0,0,PT,0,900
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,3,16,0,EN,390,0
 BARCELO,19,F,ES,223,1,Apr-25,16,0,EN,552.5,0
 BILBAO0,19,F,ES,223,2,10,65,0,EN,1300,0
 BILBAO0,19,F,ES,222,2,9,60,0,DE,1170,0
 BILBAO0,19,F,ES,223,2,10,48,0,IT,1300,0
 BILBAO3,19,M,ES,422,1,,,,,,
 CADIZ01,19,M,ES,1,2,Aug-75,60,0,EN,1137.5,0
 BILBAO0,19,F,ES,223,2,6,53,0,FR,780,0
 BARCELO,19,F,RO,223,1,Mrz 25,16,0,FR,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,DE,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,EN,455,0
 BARCELO,19,F,ES,223,1,4,16,0,EN,520,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,DE,455,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,DE,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,FR,422.5,0
 BILBAO0,19,F,ES,223,2,10,90,0,EN,1300,0
 BILBAO0,19,F,ES,223,2,10,54,0,IT,1300,0
 BILBAO0,19,F,unknown,222,1,05. Mai,28,0,EN,715,0
 BILBAO0,19,F,ES,223,2,10,56,0,IT,1300,0
 BILBAO0,19,F,ES,222,1,Mai 25,38,0,EN,682.5,0
 BILBAO0,19,F,ES,222,2,10,51,0,IT,1300,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,DE,455,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,M,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,M,ES,223,1,Mrz 75,16,0,EN,487.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,FR,422.5,0
 BILBAO0,19,F,ES,222,2,5,30,0,EN,650,0
 BILBAO0,19,M,ES,222,2,10,90,0,EN,1300,0
 BILBAO2,19,M,ES,489,1,0,22,0,EN,0,900
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 75,16,0,FR,487.5,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,DE,455,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,DE,455,0
 BARCELO,19,F,ES,223,1,3,16,0,EN,390,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,unknown,223,1,Mrz 75,16,0,FR,487.5,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,DE,455,0
 BARCELO,19,F,ES,223,1,Apr-75,16,0,EN,617.5,0
 BARCELO,19,F,ES,223,1,03. Mai,16,0,EN,455,0
 BARCELO,19,F,ES,223,1,Mrz 75,16,0,FR,487.5,0
 BARCELO,19,F,ES,223,1,Mrz 75,16,0,FR,487.5,0
 BARCELO,19,F,ES,223,1,3,16,0,EN,390,0
 BILBAO0,19,F,ES,222,1,5,30,0,EN,650,0
 GRANADA,19,F,ES,223,1,9,36,0,DE,1170,0
 AVILES0,19,F,ES,214,2,Apr-25,30,0,FR,552.5,0
 BADAJOZ,19,M,ES,813,1,0,0,0,PT,0,600
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,DE,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BILBAO0,19,F,ES,222,2,5,30,0,EN,650,0
 BARCELO,19,M,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,F,ES,223,1,Mrz 25,16,0,EN,422.5,0
 BARCELO,19,M,ES,223,1,Mrz 25,16,0,DE,422.5,0
 MADRID0,19,F,ES,313,1,Aug-25,60,0,EN,1072.5,0
 MADRID0,19,F,ES,223,1,Apr-75,30,0,FR,617.5,0
 MADRID0,19,F,ES,223,1,04. Mai,30,0,FR,585,0
 MADRID0,19,F,ES,223,1,4,30,0,EN,520,0
 MADRID1,19,M,ES,314,5,10,60,0,FR,1300,0
 MADRID3,19,F,ES,523,2,0,0,0,IT,0,975
 MADRID0,19,M,unknown,34,2,Aug-75,58,0,EN,1137.5,0
 MADRID0,19,F,ES,349,1,0,0,0,DE,0,975
 MADRID1,19,F,ES,222,2,5,30,0,DE,650,0
 MADRID0,19,F,ES,223,1,04. Mai,30,0,FR,585,0
 MADRID1,19,F,ES,222,2,9,60,0,DE,1170,0
 BADAJOZ,19,F,ES,222,1,9,60,0,PT,1170,0
 MADRID1,19,F,AT,313,1,10,60,0,FR,1300,0
 MADRID0,19,F,ES,38,2,Sep-25,60,0,FR,1202.5,0
 MADRID0,19,M,ES,34,1,9,60,0,EN,1170,0
 MADRID0,19,F,ES,313,1,08. Mai,60,0,EN,1105,0
 MADRID0,19,M,ES,340,2,0,10,0,EN,0,900
 MADRID0,19,M,ES,340,2,0,10,0,EN,0,900
 MADRID0,19,M,FR,340,2,0,10,0,FR,0,900
 LAS-PAL,19,F,ES,214,2,0,0,0,PT,0,600
 LAS-PAL,19,M,ES,214,2,0,0,0,EN,0,600
 LAS-PAL,19,F,ES,214,2,0,0,0,EN,0,600
 LOGRONO,19,M,ES,811,1,0,16,0,EN,0,900
 LOGRONO,19,F,ES,761,1,0,1,0,EN,0,900
 MADRID0,19,F,ES,313,1,Aug-25,60,0,EN,1072.5,0
 LAS-PAL,19,F,ES,761,1,0,22,0,EN,0,900
 MADRID0,19,M,ES,340,2,0,10,0,EN,0,900
 ALCAL-H,19,M,ES,340,3,Apr-25,60,0,DE,552.5,0
 MADRID0,19,F,ES,223,1,4,30,0,FR,520,0
 MADRID5,19,F,ES,762,1,0,0,0,IT,0,1050
 MADRID0,19,F,ES,223,1,5,30,0,FR,650,0
 MADRID6,19,F,ES,761,1,0,22,0,EN,0,900
 MADRID6,19,F,ES,729,1,0,22,0,EN,0,900
 MADRID0,19,F,ES,34,1,6,30,0,FR,780,0
 MADRID0,19,F,ES,313,1,08. Mai,60,0,EN,1105,0
 MADRID0,19,F,ES,34,1,6,30,0,FR,780,0
 MADRID0,19,F,ES,313,1,08. Mai,60,0,EN,1105,0
 MADRID0,19,M,ES,34,1,Jun-75,30,0,EN,877.5,0
 MADRID0,19,F,ES,313,1,9,60,0,EN,1170,0
 MADRID0,19,F,ES,340,2,0,10,0,FR,0,900
 MADRID0,19,M,ES,340,2,0,10,0,FR,0,900
 MADRID0,19,F,ES,340,2,0,10,0,FR,0,900
 MADRID0,19,M,ES,34,1,6,30,0,FR,780,0
 MADRID0,19,F,ES,223,1,Apr-75,30,0,EN,617.5,0
 BADAJOZ,19,F,ES,222,1,9,60,0,PT,1170,0
 MADRID0,19,M,ES,223,1,Sep-25,60,0,FR,1202.5,0
 MADRID0,19,F,ES,222,2,10,30,0,IT,1300,0
 MADRID1,19,F,ES,222,2,5,30,0,DE,650,0
 MADRID1,19,F,ES,222,2,5,30,0,DE,650,0
